MinTemp,MaxTemp,WindDir,RelHumid,BarPres,Rain
7.1,15.5,SW,80,1010,<20
8.1,16.6,SW,85,1035,<20
7.1,19.3,SSW,70,1024,<20
11.6,15.9,SSE,93,1041,<20
12.2,19.8,SSE,94,1032,<20
7.9,13.5,SW,96,1012,<20
9.9,15.5,SW,74,1018,<20
7.1,18.7,SSW,60,1026,<20
10.2,18.6,SSE,99,1028,<20
11.2,18.7,SSE,81,1044,<20
7.3,15.1,SW,84,1002,<20
9.5,13.9,SW,85,1029,<20
6.7,21.3,SSW,70,1027,<20
12,15.7,SSE,97,1043,<20
12.1,20.4,SSE,80,1035,<20
5.5,15,SW,94,1004,<20
7.3,14.3,SW,89,1017,<20
5.8,19.8,SSW,75,1021,<20
11.3,17,SSE,99,1025,<20
11.3,16.9,SSE,95,1036,<20
9,13.1,SW,94,1016,<20
10.6,14.2,SW,81,1019,<20
7,19.5,SSW,67,1022,<20
11.4,18.6,SSE,97,1026,<20
9.9,16.8,SSE,86,1039,<20
8.8,12.9,SW,96,1008,<20
9.5,15.8,SW,81,1024,<20
7.9,17.6,SSW,76,1036,<20
12.4,17.1,SSE,94,1036,<20
11.1,17.2,SSE,95,1039,<20
5.9,14.4,SW,87,1014,<20
10.7,14,SW,91,1021,<20
8.1,19.1,SSW,61,1027,<20
12.4,15.1,SSE,97,1035,<20
11.5,20.7,SSE,90,1034,<20
7.2,13,SW,91,1020,<20
7.5,13.6,SW,90,1016,<20
8,18,SSW,76,1037,<20
12.1,18.3,SSE,91,1041,<20
12,20.1,SSE,99,1030,<20
9.1,13.9,SW,88,1005,<20
7.4,15.9,SW,75,1019,<20
9.5,18.8,SSW,63,1032,<20
10.4,18.9,SSE,97,1024,<20
12.9,19.3,SSE,87,1035,<20
8.3,13.6,SW,81,1011,<20
10.3,14.2,SW,76,1033,<20
7.3,21.1,SSW,60,1023,<20
9.6,16.5,SSE,89,1025,<20
10.4,19.5,SSE,85,1038,<20
6.5,15.5,SW,92,1019,<20
8.3,13.4,SW,86,1035,<20
9,21.1,SSW,79,1025,<20
12.4,16.5,SSE,94,1030,<20
12.3,19.2,SSE,89,1040,<20
6,13.5,SW,94,1015,<20
8.1,16.1,SW,77,1027,<20
6,20.4,SSW,79,1031,<20
11.4,17.9,ESE,89,1042,<5
9.7,18.4,E,97,1028,<5
11.7,21.5,NW,93,1035,<5
8,13.7,W,79,1026,<5
11.6,16.7,W,84,1038,<5
11.1,15.3,SW,76,1013,<5
9.7,17,S,59,1030,<5
5.1,15.9,SSW,65,1036,<5
11.6,19.7,WNW,85,1028,<5
10.9,21.5,NNE,88,1039,<5
11.2,17.7,ESE,91,1040,<5
12.3,17.1,E,96,1033,<5
9.6,20.6,NW,76,1032,<5
7.8,15,W,84,1028,<5
10.3,13.4,W,91,1022,<5
10.9,17.1,SW,80,1026,<5
10.6,16,S,56,1011,<5
9,18.8,SSW,65,1029,<5
11.4,21.6,WNW,100,1034,<5
12.1,20.4,NNE,86,1027,<5
11.4,20,ESE,83,1041,<5
9.7,17.9,E,83,1046,<5
12.3,22.4,NW,75,1030,<5
10.8,14.6,W,71,1031,<5
9.2,13.7,W,98,1042,<5
11.8,14.8,SW,94,1012,<5
9.9,17.3,S,50,1030,<5
8.7,17.7,SSW,76,1035,<5
10.2,19.1,WNW,94,1028,<5
10,22,NNE,80,1026,<5
9.6,16.9,ESE,91,1034,<5
12.5,17.2,E,90,1034,<5
12.2,21.1,NW,92,1026,<5
10.4,15.7,W,65,1029,<5
12.9,14.1,W,83,1038,<5
9.7,13.7,SW,92,1020,<5
9.9,17.9,S,49,1031,<5
7,15.5,SSW,73,1020,<5
11.3,19,WNW,91,1044,<5
11.7,21.1,NNE,79,1034,<5
10.9,19.5,ESE,93,1026,<5
10.9,18.3,E,82,1034,<5
10.6,20.1,NW,82,1031,<5
10.8,13.8,W,65,1039,<5
11.4,13.3,W,92,1039,<5
11.8,13.8,SW,90,1019,<5
9.7,16.1,S,48,1011,<5
9,15.7,SSW,76,1027,<5
8.6,18.5,WNW,91,1044,<5
13.3,18.9,NNE,86,1028,<5
8,16.1,ESE,91,1041,<5
12,17.4,E,88,1035,<5
10,20.6,NW,74,1035,<5
8.1,16.3,W,76,1045,<5
11.2,14.7,W,87,1022,<5
10.6,15.1,SW,79,1029,<5
11,16.5,S,64,1024,<5
6.8,16.7,SSW,67,1035,<5
10.8,21.7,WNW,96,1039,<5
11.8,20,NNE,92,1039,<5
7.9,17.4,ESE,94,1044,<5
11.3,17,E,91,1034,<5
11.6,22.8,NW,85,1020,<5
9.9,14.9,W,73,1037,<5
9.6,15.4,W,84,1036,<5
11.3,15.8,SW,82,1027,<5
9.9,16.8,S,52,1011,<5
7.5,14.9,SSW,80,1017,<5
12.1,19.9,WNW,90,1038,<5
9.8,21.4,NNE,83,1035,<5
8.3,16.9,ESE,96,1031,<5
11.2,16.8,E,86,1030,<5
13.5,19.3,NW,92,1016,<5
7.5,15.7,W,82,1027,<5
